iter	Logloss
0	0.6587833459
1	0.6271416457
2	0.600082332
3	0.5808081159
4	0.560204684
5	0.538685901
6	0.524533007
7	0.5126193339
8	0.500750861
9	0.492664328
10	0.4851915341
11	0.4765761817
12	0.4690283716
13	0.4615346164
14	0.4545599387
15	0.4494024644
16	0.4448183884
17	0.4418076831
18	0.438456346
19	0.4352243465
20	0.4320939955
21	0.4300981111
22	0.427115197
23	0.4231784773
24	0.4204405066
25	0.4192339849
26	0.4168509885
27	0.4147540003
28	0.4121022658
29	0.4105187711
30	0.4088399335
31	0.4073611998
32	0.4058839875
33	0.4042979466
34	0.4028689098
35	0.4017024951
36	0.4008263719
37	0.3996887186
38	0.3985276528
39	0.397696469
40	0.3960546696
41	0.3946909089
42	0.393327168
43	0.3928139125
44	0.3919902037
45	0.3910081068
46	0.3887469753
47	0.3868007197
48	0.3860209491
49	0.3851626722
50	0.3847495784
51	0.3844881732
52	0.3841438059
53	0.3831403121
54	0.3818547356
55	0.3811260273
56	0.380467637
57	0.3800863472
58	0.3797775413
59	0.3791341326
60	0.3779204259
61	0.3776470215
62	0.3771697147
63	0.3764816989
64	0.3759893722
65	0.3754947171
66	0.374703322
67	0.3731341833
68	0.3725715123
69	0.372377485
70	0.3722355314
71	0.371224468
72	0.3704581987
73	0.3694792719
74	0.3690485546
75	0.3685094371
76	0.3673055847
77	0.3671448432
78	0.3669248422
79	0.36613083
80	0.3657142051
81	0.3653947888
82	0.3643168287
83	0.3637791901
84	0.3633788299
85	0.3632370865
86	0.362395175
87	0.3620191332
88	0.3619234413
89	0.3616081142
90	0.3612944755
91	0.3608400914
92	0.3606530307
93	0.3602585809
94	0.3598349424
95	0.3593526943
96	0.3591447972
97	0.3587242696
98	0.3577046106
99	0.3573170092
100	0.357086978
101	0.3568858719
102	0.3565026878
103	0.356288353
104	0.3561433489
105	0.3556967539
106	0.355288377
107	0.3549149749
108	0.3545927021
109	0.3544681224
110	0.3541459974
111	0.3534404265
112	0.3532541549
113	0.3530967531
114	0.3530333733
115	0.3527042667
116	0.3526088887
117	0.3524417243
118	0.3518685842
119	0.3513935026
120	0.3512251315
121	0.3510809679
122	0.3507459185
123	0.3503093016
124	0.3500812955
125	0.3494105648
126	0.3487673694
127	0.3486204883
128	0.348480495
129	0.3484018047
130	0.3482698468
131	0.3481992019
132	0.3475726295
133	0.347397682
134	0.3468445737
135	0.3462587328
136	0.3452210828
137	0.3450932361
138	0.3432658679
139	0.3427206312
140	0.3426051092
141	0.3424948959
142	0.3408461304
143	0.3398499652
144	0.3381058458
145	0.3373255188
146	0.3365655651
147	0.3352271547
148	0.3351167672
149	0.334664564
150	0.3345591252
151	0.333636863
152	0.3324398686
153	0.3311570776
154	0.3310578539
155	0.3309627653
156	0.3308441845
157	0.3307176946
158	0.3306540717
159	0.3299595485
160	0.3294670538
161	0.3284409273
162	0.3278641216
163	0.3277865069
164	0.326518442
165	0.3264414144
166	0.3259058119
167	0.3258282532
168	0.3247139735
169	0.3238500206
170	0.3232168219
171	0.3229601367
172	0.3223621001
173	0.3212832573
174	0.3207704762
175	0.320530983
176	0.3194470911
177	0.3191995706
178	0.3181884749
179	0.3175439099
180	0.3154160665
181	0.3146671054
182	0.3144485554
183	0.3135008392
184	0.3133842389
185	0.3127847948
186	0.3127188923
187	0.3124081273
188	0.3120103769
189	0.3114593629
190	0.3112703086
191	0.3105893236
192	0.3105048835
193	0.3099344246
194	0.3091894024
195	0.3091170942
196	0.3084233719
197	0.3083217434
198	0.3079970812
199	0.3079335541
200	0.307874318
201	0.3077667832
202	0.3076566192
203	0.3068296597
204	0.3063727418
205	0.3061839774
206	0.305296239
207	0.304260961
208	0.3037788622
209	0.3032772447
210	0.3032082945
211	0.3031107747
212	0.3029832164
213	0.30281767
214	0.302389605
215	0.3022631401
216	0.3021875146
217	0.3016994114
218	0.3016330455
219	0.3014691274
220	0.3013977564
221	0.3012781232
222	0.3008648215
223	0.3007330293
224	0.3002880145
225	0.2999808067
226	0.2997464613
227	0.2996943449
228	0.2994069553
229	0.2992847453
230	0.2979326641
231	0.297602587
232	0.2971444848
233	0.2967528657
234	0.2959302756
235	0.2958487602
236	0.2956562592
237	0.2950403467
238	0.2941137752
239	0.2939861015
240	0.2936058543
241	0.2934716387
242	0.2931018914
243	0.2929799446
244	0.2928655427
245	0.2919743637
246	0.2918483491
247	0.2907427771
248	0.2905738641
249	0.2904635586
250	0.2903120433
251	0.2901839357
252	0.2890016001
253	0.2886164953
254	0.2882227499
255	0.2876879601
256	0.2866272175
257	0.2858115997
258	0.2854536815
259	0.2852590416
260	0.2850119762
261	0.28406392
262	0.2839453023
263	0.2828220635
264	0.2826717027
265	0.2822472293
266	0.2819215874
267	0.2816229397
268	0.2814682519
269	0.281351716
270	0.2810696336
271	0.2808432957
272	0.280474421
273	0.280359719
274	0.2800504486
275	0.2792579165
276	0.2792139628
277	0.2787773162
278	0.2782645387
279	0.2781483151
280	0.2780434385
281	0.2771131191
282	0.2770147266
283	0.2766914857
284	0.276342364
285	0.2762586727
286	0.2754405278
287	0.2753602355
288	0.2752706437
289	0.2750043622
290	0.2746195388
291	0.2745046109
292	0.2737815137
293	0.2733156526
294	0.2724693703
295	0.2722629016
296	0.2721163201
297	0.2717971147
298	0.2716930241
299	0.271591716
300	0.2712156473
301	0.2707549479
302	0.2705806119
303	0.2704904061
304	0.2701983931
305	0.2692695786
306	0.2691663836
307	0.2690291873
308	0.2687438737
309	0.2686475607
310	0.2685361946
311	0.2684276164
312	0.2678607797
313	0.2675970245
314	0.2671826
315	0.2670906544
316	0.2668427838
317	0.2667682003
318	0.2662169354
319	0.2658460188
320	0.2657221269
321	0.2656414551
322	0.2651622915
323	0.2650766816
324	0.2649700071
325	0.2644982101
326	0.2643970288
327	0.2643115401
328	0.2639681207
329	0.2638712507
330	0.2637707061
331	0.2633058855
332	0.2630774578
333	0.2628325095
334	0.2627533589
335	0.2620555625
336	0.2618561594
337	0.2611768749
338	0.2610632075
339	0.2609575628
340	0.2605368263
341	0.2601297616
342	0.2596550166
343	0.2595527735
344	0.2588809922
345	0.2588055428
346	0.2587048805
347	0.2586021428
348	0.2585284981
349	0.2584566666
350	0.2583877728
351	0.2583302937
352	0.2582342018
353	0.2581651282
354	0.2574582945
355	0.257353807
356	0.2571095185
357	0.2570425798
358	0.2563882767
359	0.256332617
360	0.2559988523
361	0.2552047367
362	0.2551152073
363	0.2546404498
364	0.2543754286
365	0.2541486375
366	0.253775054
367	0.2535410435
368	0.252872673
369	0.2524370713
370	0.2522080264
371	0.2519884242
372	0.2511204633
373	0.250829216
374	0.2507673273
375	0.2504518418
376	0.2499005657
377	0.2498066047
378	0.2497146333
379	0.2494340681
380	0.24937521
381	0.2490814358
382	0.2484325865
383	0.2481182388
384	0.2478104482
385	0.2476345518
386	0.2470277015
387	0.2466510596
388	0.2465955727
389	0.2463154252
390	0.2462024333
391	0.2461609664
392	0.2459519068
393	0.2458640157
394	0.2457530523
395	0.2455088241
396	0.2448968446
397	0.2447407057
398	0.2444650483
399	0.2444258553
400	0.2442788914
401	0.2442410581
402	0.2439770697
403	0.2438104722
404	0.2434118607
405	0.2431773042
406	0.2428193102
407	0.2427339345
408	0.2423179762
409	0.2417906479
410	0.2417566357
411	0.2415252526
412	0.2412752854
413	0.2411581191
414	0.2405558172
415	0.2396917912
416	0.2393158793
417	0.2389530689
418	0.2388552042
419	0.2385254212
420	0.2381993417
421	0.238112468
422	0.2380280015
423	0.2379479158
424	0.237437634
425	0.2373882274
426	0.2373171433
427	0.2371660116
428	0.2369687517
429	0.2368808828
430	0.2366236616
431	0.2365439489
432	0.2364393801
433	0.2362624475
434	0.2362118875
435	0.2359069251
436	0.235830034
437	0.2357477309
438	0.2356366498
439	0.2355566591
440	0.2354789124
441	0.2350679517
442	0.2347206503
443	0.2346733919
444	0.2340798836
445	0.2336149316
446	0.2335685602
447	0.2334328641
448	0.2333001706
449	0.2329417698
450	0.2327693695
451	0.232731454
452	0.2325491465
453	0.2321094414
454	0.2320653672
455	0.2317910614
456	0.2314501812
457	0.2312633027
458	0.2307491034
459	0.230520359
460	0.2304844183
461	0.2303444674
462	0.2301128965
463	0.2300407784
464	0.2300004586
465	0.2299660502
466	0.2299174067
467	0.2298042183
468	0.2296395703
469	0.2296009474
470	0.229568008
471	0.229485608
472	0.2293540857
473	0.2288166088
474	0.2286108308
475	0.2285158354
476	0.2283817861
477	0.2283607861
478	0.2281588841
479	0.227955867
480	0.2276127071
481	0.227582082
482	0.2274574421
483	0.2274130232
484	0.2269586208
485	0.2269320587
486	0.2268069698
487	0.2266489434
488	0.2265611143
489	0.2263882745
490	0.2263048104
491	0.2261160491
492	0.2259213672
493	0.2258922513
494	0.2258640334
495	0.2252342933
496	0.2249205297
497	0.2247351239
498	0.2247084031
499	0.2243864404
500	0.2242121627
501	0.2241819347
502	0.2239361048
503	0.22358355
504	0.223538783
505	0.2235128622
506	0.2234878395
507	0.2233882339
508	0.2232677979
509	0.2230108125
510	0.2224533185
511	0.2224208971
512	0.2222968363
513	0.2222154588
514	0.2221914697
515	0.2220969726
516	0.2218432941
517	0.2218204328
518	0.2216774481
519	0.2216552414
520	0.2211722277
521	0.2210356635
522	0.2205018706
523	0.2203995847
524	0.2201040181
525	0.2199811682
526	0.2198346434
527	0.2196867074
528	0.219621805
529	0.2195019001
530	0.2194101957
531	0.2191695397
532	0.2191512961
533	0.2191302163
534	0.2190918028
535	0.2188111932
536	0.2187491879
537	0.2187227643
538	0.2186988833
539	0.2184126946
540	0.217961518
541	0.2174856364
542	0.2173484433
543	0.2172001663
544	0.2171393342
545	0.2170802827
546	0.2170571932
547	0.2167721468
548	0.2164523374
549	0.21639442
550	0.2159963186
551	0.2159737465
552	0.2158638844
553	0.2155637901
554	0.2154587027
555	0.2153927499
556	0.2153031732
557	0.2152796853
558	0.2148511058
559	0.2147891768
560	0.2146887578
561	0.2143781583
562	0.2141214537
563	0.2140992184
564	0.2137112854
565	0.2136857877
566	0.2136087234
567	0.2135212135
568	0.2134926014
569	0.2133452488
570	0.2131544194
571	0.2131208709
572	0.2131029312
573	0.213084203
574	0.2128220456
575	0.2127208118
576	0.2126454241
577	0.2125922476
578	0.2122449193
579	0.2121544267
580	0.2118644995
581	0.2117786308
582	0.2117254972
583	0.2112023085
584	0.2111214559
585	0.2109743677
586	0.210838442
587	0.2108148346
588	0.2107833921
589	0.2107015035
590	0.2102038096
